A₁	Ⅰ	𝄎	ⅱ	Ⅴ⁷
	Ⅰ	𝄎	ⅱ	Ⅴ⁷
B	₄[Ⅴ⁷]	𝄎	Ⅳ	𝄎
	Ⅱ⁷	𝄎	Ⅴ⁷	𝄎
A₂	Ⅰ	𝄎	ⅱ	Ⅴ⁷
	Ⅰ	𝄎	ⅱ	Ⅴ⁷
C	ⅱ	ꓭ⁷	ⅲ	Ⅵ⁷
	ⅱ	Ⅴ⁷	Ⅰ	(ⅱ·Ⅴ⁷)
